brand,model,generation,production_start,production_end,body_type,provider
"#1 ALPINE CUSTOMS","#1 ALPINE CUSTOMS","","","","","nhtsa-vpic"
"1/OFF KUSTOMS, LLC","1/OFF KUSTOMS, LLC","","","","","nhtsa-vpic"
"102 IRONWORKS, INC.","102 IRONWORKS, INC.","","","","","nhtsa-vpic"
"12832429 CANADA INC.","12832429 CANADA INC.","","","","","nhtsa-vpic"
"137 INDUSTRIES INC.","137 INDUSTRIES INC.","","","","","nhtsa-vpic"
"17 Creek Enterprises","17 CREEK ENTERPRISES","","","","","nhtsa-vpic"
"1955 Custom Belair","1955 Custom Belair","","","","","nhtsa-vpic"
"1M Custom Car Transports, Inc.","1M Custom Car Transports, Inc.","","","","","nhtsa-vpic"
"1ST CHOICE MANUFACTURING INC","1ST CHOICE MANUFACTURING INC","","","","","nhtsa-vpic"
"2 GOLDEN EAGLES","2 GOLDEN EAGLES","","","","","nhtsa-vpic"
"2-G Trailer Co LLC","2-G Trailer Co LLC","","","","","nhtsa-vpic"
"24/7 Onsite Cameras Inc","24/7 Onsite Cameras Inc","","","","","nhtsa-vpic"
"280 Trailers","280 Trailers","","","","","nhtsa-vpic"
"3 Custom Solutions","3 Custom Solutions","","","","","nhtsa-vpic"
"3 STAR MFG LTD","3 STAR MFG LTD","","","","","nhtsa-vpic"
"3&1 Enterprises, LLC dba Impact Trailers","3&1 Enterprises, LLC dba Impact Trailers","","","","","nhtsa-vpic"
"321Trailers","321Trailers","","","","","nhtsa-vpic"
"33 East Maintenance Inc","33 East Maintenance Inc","","","","","nhtsa-vpic"
"357 Golf Carts","357 Golf Carts","","","","","nhtsa-vpic"
"36 FEET LLC","36 FEET LLC","","","","","nhtsa-vpic"
"360 Custom Trailers","360 Custom Trailers","","","","","nhtsa-vpic"
"3C Cattle Feeders Inc.","3C Cattle Feeders Inc.","","","","","nhtsa-vpic"
"3D Custom Aluminum","3D Custom Aluminum","","","","","nhtsa-vpic"
"3M Dynamic Message Systems","3M Dynamic Message Systems","","","","","nhtsa-vpic"
"3T Mfg.","3T MFG.","","","","","nhtsa-vpic"
"3pluscoco","B01","","","","","nhtsa-vpic"
"3pluscoco","C06","","","","","nhtsa-vpic"
"3pluscoco","HB1","","","","","nhtsa-vpic"
"3pluscoco","HR10","","","","","nhtsa-vpic"
"3pluscoco","HR2","","","","","nhtsa-vpic"
"3pluscoco","HR4","","","","","nhtsa-vpic"
"3pluscoco","HR7","","","","","nhtsa-vpic"
"3pluscoco","HR8","","","","","nhtsa-vpic"
"3pluscoco","HR9","","","","","nhtsa-vpic"
"3pluscoco","HS1","","","","","nhtsa-vpic"
"3pluscoco","HS2","","","","","nhtsa-vpic"
"3pluscoco","HS6","","","","","nhtsa-vpic"
"3pluscoco","HT5","","","","","nhtsa-vpic"
"3pluscoco","KH01","","","","","nhtsa-vpic"
"3pluscoco","MH3","","","","","nhtsa-vpic"
"3pluscoco","MH6","","","","","nhtsa-vpic"
"3pluscoco","MX06","","","","","nhtsa-vpic"
"3pluscoco","MX09","","","","","nhtsa-vpic"
"3pluscoco","MX10","","","","","nhtsa-vpic"
"3pluscoco","NC05","","","","","nhtsa-vpic"
"3pluscoco","NC09","","","","","nhtsa-vpic"
"3pluscoco","Q01","","","","","nhtsa-vpic"
"3pluscoco","Q05","","","","","nhtsa-vpic"
"4 Boss","4 Boss","","","","","nhtsa-vpic"
"4 Star Fabrication","4 Star Fabrication Trailer","","","","","nhtsa-vpic"
"4 W","4 W","","","","","nhtsa-vpic"
"4 Wide","4 Wide","","","","","nhtsa-vpic"
"4 X 4 Trailers Ltd","4 X 4 Trailers Ltd","","","","","nhtsa-vpic"
"4-Star Trailers Inc.","4-Star Trailers Inc.","","","","","nhtsa-vpic"
"41 Series","41 Series","","","","","nhtsa-vpic"
"4L Trailers","4L Trailers","","","","","nhtsa-vpic"
"4M Farm & Trailer Sales","4M Farm & Trailer Sales","","","","","nhtsa-vpic"
"5 Starr Trailer Company, Inc","5 Starr Trailer Company, Inc","","","","","nhtsa-vpic"
"505 Fabrication","505 Fabrication LLC","","","","","nhtsa-vpic"
"5280 Trailerworks","5280 Trailerworks","","","","","nhtsa-vpic"
"55 Grills","55 Grills","","","","","nhtsa-vpic"
"58th Street Customs","58th Street Customs","","","","","nhtsa-vpic"
"5G Modular","5G Modular","","","","","nhtsa-vpic"
"5JS Welding","5JS Welding","","","","","nhtsa-vpic"
"5M Trailers","5M Trailers","","","","","nhtsa-vpic"
"5R Ranch Trailers","5R Ranch Trailers","","","","","nhtsa-vpic"
"6 & 34 Trailers & Mfg, Inc.","6 & 34 Trailers & Mfg, Inc.","","","","","nhtsa-vpic"
"6186433 MB Ltd / Ironmen Industries","6186433 MB Ltd / Ironmen Industries","","","","","nhtsa-vpic"
"62DNC Trailer","62DNC Trailer","","","","","nhtsa-vpic"
"643 ENTERPRISE","643 ENTERPRISE","","","","","nhtsa-vpic"
"7 ENERGY","7 ENERGY","","","","","nhtsa-vpic"
"7 Seas Trailers","7 Seas Trailers","","","","","nhtsa-vpic"
"7 Sons Construction","7 Sons Construction","","","","","nhtsa-vpic"
"702 TRAILER'S & WELDING LLC","702 TRAILER'S & WELDING LLC","","","","","nhtsa-vpic"
"79Bike","Falcon","","","","","nhtsa-vpic"
"79Bike","Lynx","","","","","nhtsa-vpic"
"7X Offroad","7X Offroad","","","","","nhtsa-vpic"
"801 Trailer Manufacturing","801 Trailer Manufacturing","","","","","nhtsa-vpic"
"818","818","","","","","nhtsa-vpic"
"9149-0847 Quebec Inc.","9149-0847 Quebec Inc.","","","","","nhtsa-vpic"
"A & A Manufacturing","A & A Manufacturing","","","","","nhtsa-vpic"
"A & B INDUSTRIES","A & B INDUSTRIES TRAILER","","","","","nhtsa-vpic"
"A & D Company","A & D Company","","","","","nhtsa-vpic"
"A & E Fabricators","A & E Fabricators","","","","","nhtsa-vpic"
"A & E Trailers","A & E Trailers","","","","","nhtsa-vpic"
"A & F TRAILER MFG INC","A & F TRAILER MFG INC","","","","","nhtsa-vpic"
"A & H","A & H Trailer","","","","","nhtsa-vpic"
"A & K Trailers","A & K Trailers","","","","","nhtsa-vpic"
"A & L Smokers","A & L Smokers","","","","","nhtsa-vpic"
"A & L TRAILERS","A & L TRAILERS","","","","","nhtsa-vpic"
"A & M FABRICATIONS","A & M FABRICATIONS","","","","","nhtsa-vpic"
"A & O","Patton","","","","","nhtsa-vpic"
"A & O","Scout","","","","","nhtsa-vpic"
"A & R Custom Trailers","A & R Custom Trailers","","","","","nhtsa-vpic"
"A & V Trailers","A & V Trailers","","","","","nhtsa-vpic"
"A & W TRAILOR MANUFACTURE","A & W TRAILOR MANUFACTURE","","","","","nhtsa-vpic"
"A Bar K Trailers","A Bar K Trailers","","","","","nhtsa-vpic"
"A Smith GT Bentley","A Smith GT Bentley","","","","","nhtsa-vpic"
"A TO Z METAL WORKS Co.","A TO Z METAL WORKS Co.","","","","","nhtsa-vpic"
"A Team Trailers, Ltd.","A Team Trailers, Ltd.","","","","","nhtsa-vpic"
"A Trinity Trailer","A Trinity Trailer","","","","","nhtsa-vpic"
"A to Z Auto","A to Z Auto","","","","","nhtsa-vpic"
"A&A Steel Enterprises Ltd.","A&A Steel Enterprises Ltd.","","","","","nhtsa-vpic"
"A&D","A&D","","","","","nhtsa-vpic"
"A&M Trailer LLC","A&M Trailer LLC","","","","","nhtsa-vpic"
"A&P WELDING","A&P WELDING","","","","","nhtsa-vpic"
"A&R Economy Cargo Trailers","A&R Economy Cargo Trailers","","","","","nhtsa-vpic"
"A-1 Custom Trailer aka Tow Master","A-1 Custom Trailer aka Tow Master","","","","","nhtsa-vpic"
"A-1 Hitch & Trailer Sales, Inc.","A-1 Hitch & Trailer Sales, Inc.","","","","","nhtsa-vpic"
"A-1 Truck Repair","A-1 Truck Repair Trailer","","","","","nhtsa-vpic"
"A-N-S Manufacturing, Inc.","A-N-S Manufacturing, Inc.","","","","","nhtsa-vpic"
"A. B. Chance Company","A. B. Chance Company","","","","","nhtsa-vpic"
"A. Bergman","A. Bergman","","","","","nhtsa-vpic"
"A.A. Trailer","A.A. Trailer","","","","","nhtsa-vpic"
"A.G.A EL AMIGUITO","A.G.A EL AMIGUITO","","","","","nhtsa-vpic"
"A.N. Bowling","A.N. Bowling","","","","","nhtsa-vpic"
"A.P.C. Motor Company","BigBoy","","","","","nhtsa-vpic"
"A.P.C. Motor Company","Spirit","","","","","nhtsa-vpic"
"A.P.E, INC","A.P.E Inc","","","","","nhtsa-vpic"
"A.Q. Manufacturing","A.Q. Manufacturing","","","","","nhtsa-vpic"
"A.R. Services","A.R. Services","","","","","nhtsa-vpic"
"A.R.M.","A.R.M.","","","","","nhtsa-vpic"
"A.S.C.","AS929","","","","","nhtsa-vpic"
"A.S.C.","AS989","","","","","nhtsa-vpic"
"A.T.M.","A.T.M.","","","","","nhtsa-vpic"
"A.V. Trailers L.L.C.","A.V. Trailers L.L.C.","","","","","nhtsa-vpic"
"A1 Cycles","A1 Cycles","","","","","nhtsa-vpic"
"A1 FOOD TRUCK DEPOT LLC","A1 FOOD TRUCK DEPOT LLC","","","","","nhtsa-vpic"
"A1 FOOD TRUCK DEPOT LLC","Chuck wagon","","","","","nhtsa-vpic"
"A1 FOOD TRUCK DEPOT LLC","The HandCart","","","","","nhtsa-vpic"
"A2M2 Trailers","A2M2 Trailers","","","","","nhtsa-vpic"
"A2Z","A2Z","","","","","nhtsa-vpic"
"AA Muffler and Welding","AA Muffler and Welding LLC","","","","","nhtsa-vpic"
"AA Screen Supply","AA Screen Supply","","","","","nhtsa-vpic"
"AA Welding","AA Welding","","","","","nhtsa-vpic"
"AAA Marine","AAA Marine","","","","","nhtsa-vpic"
"AAA Tiny Home","AAA Tiny Home","","","","","nhtsa-vpic"
"AAA Trailer Sales LLC","AAA Trailer Sales LLC","","","","","nhtsa-vpic"
"AACI","AACI","","","","","nhtsa-vpic"
"AAD Welding, Inc.","AAD Welding, Inc.","","","","","nhtsa-vpic"
"AAR Welding","AAR Welding","","","","","nhtsa-vpic"
"AAS","Euro Edition","","","","","nhtsa-vpic"
"AAS","Gt Malan","","","","","nhtsa-vpic"
"AAS","Performance Edition","","","","","nhtsa-vpic"
"AAS","Race Edition","","","","","nhtsa-vpic"
"AAS","Sport Edition","","","","","nhtsa-vpic"
"AAS","Trophy Edition","","","","","nhtsa-vpic"
"ABASTECEDORA DE TRACTOPARTES Y REFACCIONES","ABASTECEDORA DE TRACTOPARTES Y REFACCIONES","","","","","nhtsa-vpic"
"ABC Enterprises","ABC Enterprises","","","","","nhtsa-vpic"
"ABC Manufacturing","ABC Manufacturing","","","","","nhtsa-vpic"
"ABCMFG, Inc","ABCMFG, Inc","","","","","nhtsa-vpic"
"ABD EQUIPMENT & PARTS LLC","ABD EQUIPMENT & PARTS LLC","","","","","nhtsa-vpic"
"ABI","Transit bus","","","","","nhtsa-vpic"
"ABI ATTACHMENTS, INC","ABI ATTACHMENTS, INC","","","","","nhtsa-vpic"
"ABI Caravans Ltd","ABI Caravans Ltd","","","","","nhtsa-vpic"
"ABP Trailers","ABP Trailers","","","","","nhtsa-vpic"
"ABS","ABS","","","","","nhtsa-vpic"
"ABT","ABT","","","","","nhtsa-vpic"
"ABU","ABU Trailer","","","","","nhtsa-vpic"
"AC Customs","Model A","","","","","nhtsa-vpic"
"AC Customs","Model B","","","","","nhtsa-vpic"
"AC Customs","Model C","","","","","nhtsa-vpic"
"AC Customs","Model D","","","","","nhtsa-vpic"
"AC Customs","Model E","","","","","nhtsa-vpic"
"AC Customs","Model F","","","","","nhtsa-vpic"
"AC Customs","Model G","","","","","nhtsa-vpic"
"AC Customs","Model H","","","","","nhtsa-vpic"
"AC Customs","Model I","","","","","nhtsa-vpic"
"AC Customs","Model J","","","","","nhtsa-vpic"
"AC Customs","Model K","","","","","nhtsa-vpic"
"AC Customs","Model L","","","","","nhtsa-vpic"
"AC Customs","Redwing","","","","","nhtsa-vpic"
"AC Propulsion","eBox","","","","","nhtsa-vpic"
"AC Propulsion","tZero","","","","","nhtsa-vpic"
"AC Scott Trailers","AC Scott Trailers","","","","","nhtsa-vpic"
"ACCU-TEK TRAILER MANUFACTURING, INC.","ACCU-TEK TRAILER MANUFACTURING, INC.","","","","","nhtsa-vpic"
"ACCURATE CYCLE ENGINEERING","ACCURATE CYCLE ENGINEERING","","","","","nhtsa-vpic"
"ACE Metalworks","ACE Metalworks","","","","","nhtsa-vpic"
"ACE Truck Body Co.","ACE Truck Body Co.","","","","","nhtsa-vpic"
"ACELA, INC","ACELA, INC","","","","","nhtsa-vpic"
"ACELA, INC","Monterra II","","","","","nhtsa-vpic"
"ACEMOTOR","ACE1000D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE1200D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE125GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE125YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE1500D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE150GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE150YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE2000D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE200GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE200YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE250GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE250YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE3000D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE300GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE300YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE350D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE350GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE350YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE5000D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE500D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE500GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE500YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE6000D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE600YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE700GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE700YS","","","","","nhtsa-vpic"
"ACEMOTOR","ACE800D","","","","","nhtsa-vpic"
"ACEMOTOR","ACE800GY","","","","","nhtsa-vpic"
"ACEMOTOR","ACE800YS","","","","","nhtsa-vpic"
"ACES CHOPPERWORKS","ACES CHOPPERWORKS","","","","","nhtsa-vpic"
"ACG","39 Roadster","","","","","nhtsa-vpic"
"ACG","Bremach","","","","","nhtsa-vpic"
"ACG","California Roadster","","","","","nhtsa-vpic"
"ACG","Escalade","","","","","nhtsa-vpic"
"ACG","Full Function Vehicle (FFV)","","","","","nhtsa-vpic"
"ACG","Golf Cart","","","","","nhtsa-vpic"
"ACG","Hummer H3","","","","","nhtsa-vpic"
"ACG","Low Speed Vehicle (LSV)","","","","","nhtsa-vpic"
"ACG","MOKE","","","","","nhtsa-vpic"
"ACG","Medium Speed Vehicle (MSV)","","","","","nhtsa-vpic"
"ACG","Other","","","","","nhtsa-vpic"
"ACG","Passenger Car","","","","","nhtsa-vpic"
"ACG","T-Sport","","","","","nhtsa-vpic"
"ACI","ACI","","","","","nhtsa-vpic"
"ACME","ACME Motorcycle","","","","","nhtsa-vpic"
"ACME CRYOGENICS, INC.","ACME CRYOGENICS, INC.","","","","","nhtsa-vpic"
"ACP TRAILERS","ACP TRAILERS","","","","","nhtsa-vpic"
"ACS","ACS","","","","","nhtsa-vpic"
"ACTION WELDING & FABRICATION, INC.","ACTION WELDING & FABRICATION, INC.","","","","","nhtsa-vpic"
"ACTIVEDOGS","ACTIVEDOGS","","","","","nhtsa-vpic"
"ACTIVEV LLC","Nexus","","","","","nhtsa-vpic"
"ACTIVEV LLC","Pulse","","","","","nhtsa-vpic"
"ACTIVEV LLC","Sport","","","","","nhtsa-vpic"
"ACTIVEV LLC","Standard","","","","","nhtsa-vpic"
"ACcustomX","ACcustomX","","","","","nhtsa-vpic"
"ADAPTIVE HUMANITY LLC","ADAPTIVE HUMANITY LLC","","","","","nhtsa-vpic"
"ADDAX Overland LLC","ADDAX Overland LLC","","","","","nhtsa-vpic"
"ADDAX Overland LLC","The Basecamp","","","","","nhtsa-vpic"
"ADIRONDACK KABINS, LLC","ADIRONDACK KABINS, LLC","","","","","nhtsa-vpic"
"ADIRONDACK KOTTAGES","ADIRONDACK KOTTAGES","","","","","nhtsa-vpic"
"ADLY","ATV","","","","","nhtsa-vpic"
"ADLY","Bulleye, GTC","","","","","nhtsa-vpic"
"ADLY","CAT","","","","","nhtsa-vpic"
"ADLY","FT","","","","","nhtsa-vpic"
"ADLY","GTS, GTA","","","","","nhtsa-vpic"
"ADLY","JET, SF, PP, FP","","","","","nhtsa-vpic"
"ADLY","Jet, Fox","","","","","nhtsa-vpic"
"ADLY","PT, FX","","","","","nhtsa-vpic"
"ADLY","Panther, Phoenix","","","","","nhtsa-vpic"
"ADLY","RT","","","","","nhtsa-vpic"
"ADLY","TB, SS","","","","","nhtsa-vpic"
"ADLY","Thunderbike","","","","","nhtsa-vpic"
"ADLY","WB","","","","","nhtsa-vpic"
"ADM MANUFACTURING","ADM MANUFACTURING","","","","","nhtsa-vpic"
"ADMIRATION HOMES","ADMIRATION HOMES TRAILER","","","","","nhtsa-vpic"
"ADMW","ADMW","","","","","nhtsa-vpic"
"ADOC","ADOC","","","","","nhtsa-vpic"
"ADS Manufacturing","ADS Manufacturing","","","","","nhtsa-vpic"
"ADU 100","ADU 100","","","","","nhtsa-vpic"
"ADU 200","ADU 200","","","","","nhtsa-vpic"
"ADVANCED BOAT","ADVANCED BOAT","","","","","nhtsa-vpic"
"ADVANCED BOAT TRAILERS, INC.","ADVANCED BOAT TRAILERS, INC.","","","","","nhtsa-vpic"
"ADVANCED CONTAINMENT SYSTEMS, INC","DECON","","","","","nhtsa-vpic"
"ADVANCED FABRICATORS INC","ADVANCED FABRICATORS INC","","","","","nhtsa-vpic"
"ADVANCED FIELD SERVICES, LLC","ADVANCED FIELD SERVICES, LLC","","","","","nhtsa-vpic"
"ADVANCED MANUFACTURING & POWER SYSTEMS, INC.","ADVANCED MANUFACTURING & POWER SYSTEMS, INC.","","","","","nhtsa-vpic"
"ADVENTURE","ADVENTURE","","","","","nhtsa-vpic"
"ADVENTURE COAST, LLC","ADVENTURE","","","","","nhtsa-vpic"
"AEC Enterprises","AEC Enterprises","","","","","nhtsa-vpic"
"AEP North America","AEP North America","","","","","nhtsa-vpic"
